text	translated
"""일각에서는 브라질이 미국과 가까워지면, 반대로 중국과 멀어지면서 경제적으로 큰 피해가 발생하는 것 아니냐는 우려도 나온다."""	0
매년 금강산에서 열려 온 정 전 회장의 추모식은 2008년 관광객 박왕자씨 피살 사건으로 금강산 관광이 중단된 후에도 이뤄졌다.	0
야당 의원들은 지난 3일 경제건설위원회 동의안 심사 과정에서 광역지자체가 300억원 이상의 사업을 추진할 경우 정부의 중앙투자심사를 받아야 함에도 이 같은 절차를 지키지 않았다며 집중 공세를 펼쳤다.	0
"""그런 어려움을 겉으로 표현하지도 않았는데 일주일마다 먹을 음식을 챙겨다 주시는 권사님, 이사할 때마다 새것 같은 가구들을 쓰지 않는다며 채워주시던 집사님들이 있었다."""	0
㈜파워보이스는 KB스타터스 소속 업체로 KB금융그룹과 협업을 통해 목소리 인증을 통한 간편 결제 서비스를 개발하고 있다.	0
순천시는 오는 5월에 열릴 예정인 람사르 습지도시 지자체장 네트워크 회의와 세계습지연구자학회 아시아지역 회의를 관광도시 순천을 국내외에 알리는데 적극 활용한다는 방침이다.	0
그는 저서 ‘우아한 패배’에서 모두가 승리하려 한다면 우리 안의 악이 더욱 활개를 치게 되지만 우아한 패배를 선택하면 우리 안에 숨겨진 선이 나온다고 말했다.	0
앞서 MBC 조사위원회는 조연출이 FD에게 편집 관련 영상 자료를 요청한 데서 이번 사태가 발생했으며 FD가 조연출에게 전달한 자료 10건 중 2건이 세월호 관련 뉴스였다고 밝혔다.	0
익명을 요구한 통상 전문가는 “덩치로 보면 어른끼리 싸우고 있는데 초등학생이 끼어 있는 형국”이라며 “세계무역기구(WTO) 원칙에 따라 통상분쟁을 해결하라고 목소리를 내는 수준 외에 할 수 있는 일이 없다”고 말했다.	0
"""소작품은 유채꽃과 산방산, 올레길, 제주해녀, 감귤·한라봉(사진), 동백꽃 등으로 작품마다 안전을 위해 활동하는 제주 경찰관 모형도 배치했다."""	0
최근 부진했던 평가전 경기력에 이날의 뼈아픈 패배까지 더해져 대표팀을 향한 국민들의 질타와 냉대 역시 심해졌다.	0
인도네시아 당국은 “피해 상황은 구체적으로 보고되지 않았지만 오후 8시42분과 8시49분쯤 각각 5.0과 5.9 규모의 여진이 잇따라 발생해 마타람 지역이 심하게 흔들렸던 만큼 피해가 예상된다”고 밝혔다.	0
