translated	text
0	하늘길 운항노선도 광주-제주 광주-양양 광주-김해 등 국내는 물론 일본과 중국 등 동남아로 점차 넓혀가기로 했다.
1	이어 "국내항로는 광주-제주, 광주-양양, 광주-김해를 비롯해 일본, 중국 등 동남아 지역으로 점차 확대될 것"이라고 말했다.
0	저가항공보다는 프레미엄 비즈니스 전문 항공사를 추구하는 에어필립은 지방 도시간 항공망 구축에 새 지평을 열 것으로 기대된다.
1	"저가 항공사보다 프리미엄 비즈니스 항공사를 찾는 에어필립이 지역 도시 간 항공 네트워크 구축에 새로운 지평을 열 것으로 기대된다"고 말했다.
0	울릉도와 흑산도 등의 소형공항이 수년 내 문을 열 경우 광주?전남 지역민의 관광 접근성도 획기적으로 개선될 전망이다.
1	“앞으로 몇 년 안에 울릉도와 흑산도에 위치한 소규모 공항이 개업하면 광주와 전남 지역 주민들의 관광 접근성도 획기적으로 향상될 것입니다.”
0	지역민들이 해외여행을 위해 인천공항에 갈 때마다 고속버스에 ‘수화물’을 싣고 내리던 불편도 덜 수 있게 됐다.
1	"현지인들이 해외여행을 위해 인천국제공항에 올 때마다 고속버스에 '짐'을 싣고 내려야 하는 불편함을 완화했습니다."
0	포항출신인 필립에셋 엄일석 회장은 “광주에 18년 동안 살면서 강원도나 인천공항에 갈 때마다 지역거점 항공사 필요성을 절감해왔다”며 “지역민들의 편의에 철저히 맞춰 항공기 운항 시간과 노선을 결정할 것”이라고 말했다.
1	포항 출신 필립에셋 엄일석 사장은 “광주에서 18년을 살아오다 보니 강원도나 인천공항을 갈 때마다 현지 허브항공사의 필요성을 절실히 느꼈다”고 말했다. " 및 ""현지 주민들의 편의를 위해 완전히 비행 시간과 경로를 철저히 결정할 것입니다."""
0	앞으로 신흥국 통화 가치가 계속 하락할 것으로 예상된다면 신흥국 증시에서 발을 뺄 수밖에 없게 된다.
1	"이머징 국가의 통화 가치 하락이 계속될 경우 주식 시장에서 물러나는 것은 불가피할 것입니다."
0	신한금융투자 곽현수 연구원은 “코스피가 지난 2월 이후 고점 대비 10% 이상 하락한 적은 처음”이라며 “2월에도 저점을 다진 후 약 6주간 외국인 자금이 순유입됐었다”고 말했다.
1	코스피는 "2월 이후 고점에서 10% 이상 하락한 것은 처음"이라며 "2월에는 저점에 도달해 약 6주 동안 외국인 자금 순유입이 있었다"고 말했다. 곽현수 신한금융투자 연구원"
0	"유안타증권 정인지 연구원은 “코스피는 2350선에 지지대가 있고, 원·달러 환율도 1100∼1110원에서 저항을 받을 수 있다”고 설명했다."
1	정인지 유안타증권 연구원은 ""코스피는 2350선 전후에서 지지를 받고 있고 원·달러 환율은 1100~1110원에서 저항을 만날 수 있다"고 설명했다.
0	이베스트투자증권 최광혁 연구원은 “실업률도 문제지만 대부분 업종에서 취업이 감소하고 있다”며 “소득주도성장이 어그러지면 국내 경기에 대한 기대를 줄여야 한다는 불안감이 커질 수 있다”고 말했다.
1	최광 연구원은 "실업률 자체가 문제지만 대부분의 업종에서 고용이 감소하고 있다"며 "소득주도성장의 심화로 국내 경제에 대한 기대감이 낮아질 수 있다는 불안감을 키울 수 있다"고 말했다. 이베스트투자증권 혁 연구원입니다."
0	"제주지방경찰청은 제주공항 1층 3번 출구 앞에 가로 5m, 세로 3.2m, 높이 3.5m인 대형 브릭 조형물을 갖추고 20일 조형물 제막식을 개최한다고 18일 밝혔다."
1	제주지방경찰청은 18일 제주공항 1층 3번출구 앞에서 가로 5m, 세로 3.2m, 높이 3.5m의 대형 벽돌조형물로 조각품 제막식을 한다고 18일 밝혔다. "
0	"총 1억2000여만원이 소요된 조형물은 5만여개의 브릭을 사용, 제주섬을 형상화하는 중심부와 관광지 등 소작품 17개로 구성됐다."
1	"조각품은 총 1억 2000만원 정도이며, 5만 개의 벽돌로 이루어져 있으며 제주도를 형상화한 센터와 관광지 등 17개의 작은 조각들로 이루어져 있습니다."
0	"소작품은 유채꽃과 산방산, 올레길, 제주해녀, 감귤·한라봉(사진), 동백꽃 등으로 작품마다 안전을 위해 활동하는 제주 경찰관 모형도 배치했다."
